tourney_id,tourney_name,match_id,winner_name,loser_name
1877-540,Wimbledon,1,Spencer William Gore,Ht Gilson
1877-540,Wimbledon,2,Montague Hankey,Robert Dalby Dalby
1877-540,Wimbledon,3,John Baker,Jw Trist
1877-540,Wimbledon,4,Francis Nathaniel Langham,Charles Francis Buller
1877-540,Wimbledon,5,Lestocq Robert Erskine,E Wheeler
1877-540,Wimbledon,6,J Lambert,Hc Soden
1877-540,Wimbledon,7,Bayly Nash Akroyd,G Nicol
1877-540,Wimbledon,8,William Cecil Marshall,Fd Jackson
1877-540,Wimbledon,9,Frederick William Oliver,Major Battye
1877-540,Wimbledon,10,Julian Marshall,Capt Grimston
1877-540,Wimbledon,11,Charles Gilbert Heathcote,Geoffrey Fowell Buxton
1877-540,Wimbledon,12,Spencer William Gore,Montague Hankey
1877-540,Wimbledon,13,Francis Nathaniel Langham,John Baker
1877-540,Wimbledon,14,Lestocq Robert Erskine,J Lambert
1877-540,Wimbledon,15,William Cecil Marshall,Bayly Nash Akroyd
1877-540,Wimbledon,16,Julian Marshall,Frederick William Oliver
1877-540,Wimbledon,17,William Cecil Marshall,Lestocq Robert Erskine
1877-540,Wimbledon,18,Charles Gilbert Heathcote,Julian Marshall
1877-540,Wimbledon,19,Spencer William Gore,Francis Nathaniel Langham
1877-540,Wimbledon,20,Spencer William Gore,Charles Gilbert Heathcote
1877-540,Wimbledon,21,Spencer William Gore,William Cecil Marshall
1878-540,Wimbledon,1,Lestocq Robert Erskine,Aw Nicholson
1878-540,Wimbledon,2,Fw Porter,E Bates
1878-540,Wimbledon,3,Seton Montolieu Montgomerie,Alexander William Crichton
1878-540,Wimbledon,4,George Arnulph Montgomerie,George Ernest Tabor
1878-540,Wimbledon,5,Charles Gipps Hamilton,F Pollock
1878-540,Wimbledon,6,Charles Gilbert Heathcote,H Wheeler
1878-540,Wimbledon,7,Edmond Bennet Brackenbury,Gwynne James
1878-540,Wimbledon,8,Herbert Fortescue Lawford,A Keyser
1878-540,Wimbledon,9,Capt Grimston,J Cunningham
1878-540,Wimbledon,10,Er Seymour,Hs Cotton
1878-540,Wimbledon,11,Arthur Sydney Tabor,C Wallis
1878-540,Wimbledon,12,Frank Hadow,Frederick William Oliver
1878-540,Wimbledon,13,Robert Dalby Dalby,Beckwith Smith
1878-540,Wimbledon,14,Ac Brown,Fm Ashley
1878-540,Wimbledon,15,Arthur Thomas Myers,Geoffrey Fowell Buxton
1878-540,Wimbledon,16,Alexander Astell Hadow,C Ewbank
1878-540,Wimbledon,17,Mr Clapham,Mr Crum
1878-540,Wimbledon,18,Fw Porter,Seton Montolieu Montgomerie
1878-540,Wimbledon,19,Charles Gipps Hamilton,George Arnulph Montgomerie
1878-540,Wimbledon,20,Edmond Bennet Brackenbury,Charles Gilbert Heathcote
1878-540,Wimbledon,21,Herbert Fortescue Lawford,Capt Grimston
1878-540,Wimbledon,22,Frank Hadow,Arthur Sydney Tabor
1878-540,Wimbledon,23,Ac Brown,Robert Dalby Dalby
1878-540,Wimbledon,24,Arthur Thomas Myers,Alexander Astell Hadow
1878-540,Wimbledon,25,Lestocq Robert Erskine,Mr Clapham
1878-540,Wimbledon,26,Charles Gipps Hamilton,Edmond Bennet Brackenbury
1878-540,Wimbledon,27,Herbert Fortescue Lawford,Er Seymour
1878-540,Wimbledon,28,Frank Hadow,Ac Brown
1878-540,Wimbledon,29,Lestocq Robert Erskine,Fw Porter
1878-540,Wimbledon,30,Frank Hadow,Arthur Thomas Myers
1878-540,Wimbledon,31,Lestocq Robert Erskine,Charles Gipps Hamilton
1878-540,Wimbledon,32,Lestocq Robert Erskine,Herbert Fortescue Lawford
1878-540,Wimbledon,33,Frank Hadow,Lestocq Robert Erskine
1878-540,Wimbledon,34,Frank Hadow,Spencer William Gore
1879-540,Wimbledon,1,Cl Stephen,Ha Taylor
1879-540,Wimbledon,2,Charles Gilbert Heathcote,Cj Coventry
1879-540,Wimbledon,3,Victor Alexander Brooke,Ernest Renshaw
1879-540,Wimbledon,4,Bt Cotton,Alfred Schacht
1879-540,Wimbledon,5,John Thorneycroft Hartley,Charles John Cole
1879-540,Wimbledon,6,Lestocq Robert Erskine,Fw Porter
1879-540,Wimbledon,7,Gh Cartland,Henry Lyle Mulholland
1879-540,Wimbledon,8,William Cecil Marshall,Ah Cochran
1879-540,Wimbledon,9,Cecil Francis Parr,George Arnulph Montgomerie
1879-540,Wimbledon,10,Hubert James Medlycott,Edward Ballachey Hill
1879-540,Wimbledon,11,Edward North Buxton,Capt Belson
1879-540,Wimbledon,12,T Hoare,Wf Adams
1879-540,Wimbledon,13,Arthur Basil Brooke,Ht Gilson
1879-540,Wimbledon,14,Arthur Thomas Myers,William Francis Wells Cole
1879-540,Wimbledon,15,Charles David Barry,R Barrington
1879-540,Wimbledon,16,Gg Arbuthnot,Otway Edward Woodhouse
1879-540,Wimbledon,17,George Ernest Tabor,William Charles Renshaw
