Command Line:
--------------------------
  1: ws
  2: crimes.txt
--------------------------

----------------------------------------------------------------------------------------
| The original Statistics                                                              |
----------------------------------------------------------------------------------------
| Ontario               | Scarborough     | [None]               |   2020 |  500 | 300 |
| Ontario               | Scarborough     | Assault              |   2021 |  700 | 200 |
| Alberta               | Foothills       | Robbery              |   2019 |  324 | 100 |
| British-Columbia      | Abbotsford      | [None]               |   2021 |  555 | 150 |
| Manitoba              | Provencher      | Robbery              |   2019 |  222 | 120 |
| Alberta               | Bow-River       | Robbery              |   2019 |  665 | 110 |
| Alberta               | Lakeland        | Assault              |   2019 |  932 | 240 |
| Alberta               | Lethbridge      | Extortion            |   2019 |  234 | 104 |
| Nova-Scotia           | Halifax         | Fraud                |   2019 |  743 | 143 |
| New-Brunswick         | Fredericton     | Robbery              |   2019 |  678 | 178 |
| Nova-Scotia           | Halifax         | Fraud                |   2020 |  784 | 184 |
| Ontario               | Milton          | Fraud                |   2019 |  345 | 145 |
| Nova-Scotia           | Halifax         | Fraud                |   2021 |  432 | 132 |
| Yukon                 | Yukon           | Extortion            |   2019 |  121 | 121 |
| Nova-Scotia           | Kings-Hants     | Fraud                |   2019 |   65 |  45 |
| Alberta               | Lakeland        | [None]               |   2020 |   32 |  22 |
| Nova-Scotia           | Kings-Hants     | Fraud                |   2020 |   21 |  20 |
| British-Columbia      | Richmond-Centre | Extortion            |   2019 |  544 | 344 |
| Quebec                | Bourassa        | Fraud                |   2021 |  321 | 221 |
| Saskatchewan          | Prince-Albert   | Assault              |   2021 |  674 | 374 |
| Quebec                | La-Prairie      | Assault              |   2019 |  748 | 448 |
| Alberta               | Bow-River       | Robbery              |   2020 |  800 | 500 |
| Quebec                | La-Prairie      | [None]               |   2020 |  900 | 400 |
| Nova-Scotia           | Kings-Hants     | Fraud                |   2021 |  214 | 114 |
| New-Brunswick         | Fundy-Royal     | Robbery              |   2021 |  567 | 367 |
| Nova-Scotia           | West-Nova       | Robbery              |   2019 |  421 | 321 |
| Manitoba              | Winnipeg-North  | Assault              |   2021 |  452 | 152 |
| Nova-Scotia           | West-Nova       | Robbery              |   2020 |  764 | 464 |
| Saskatchewan          | Regina-Lewvan   | Robbery              |   2020 |  812 | 412 |
| New-Brunswick         | Fredericton     | [None]               |   2021 |  313 | 213 |
| Ontario               | Ajax            | Robbery              |   2020 |  456 | 356 |
| Alberta               | Lethbridge      | Extortion            |   2021 |  231 | 131 |
| Nova-Scotia           | West-Nova       | [None]               |   2021 |  190 |  90 |
| Alberta               | Foothills       | Robbery              |   2020 |  180 |  80 |
| Quebec                | Bourassa        | Fraud                |   2019 |  170 |  70 |
| Manitoba              | Portage-Lisgar  | Fraud                |   2021 |  160 |  60 |
| New-Brunswick         | Fundy-Royal     | Robbery              |   2020 |  111 |  11 |
| Quebec                | Bourassa        | Fraud                |   2020 |  433 |  33 |
| New-Brunswick         | Acadie-Bathurst | Robbery              |   2020 |  498 |  98 |
| Quebec                | La-Prairie      | Assault              |   2021 |  488 |  88 |
| Saskatchewan          | Regina-Lewvan   | Fraud                |   2021 |  230 |  30 |
| Ontario               | Ajax            | Robbery              |   2019 |  520 |  20 |
